127.0.0.1 - - [06/Jan/2023:16:16:05 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /msit/ HTTP/1.1" 200 12945
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /msit/resources/data/main3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /msit/resources/data/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /msit/resources/data/c-2-content.jfif/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /msit/resources/data/naverblog.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /msit/resources/data/facebook.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /msit/resources/data/c-2-content2.jfif/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /msit/resources/data/main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /msit/resources/data/instagram.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /msit/resources/data/c-1-content.jfif/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /msit/resources/data/main2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /msit/resources/data/foot_logo.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /msit/resources/data/twitter.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /msit/resources/data/youtube.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:17 +0900] "GET /msit/api/test1 HTTP/1.1" 200 23
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:24 +0900] "GET /msit/api/api1 HTTP/1.1" 200 1464
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:26 +0900] "GET /msit/api/test2/kkt/1234 HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:30 +0900] "GET /msit/api/test3/kkt HTTP/1.1" 200 47
0:0:0:0:0:0:0:1 - - [06/Jan/2023:16:16:38 +0900] "GET /msit/api/test3/kkt HTTP/1.1" 200 47
